line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
1001,3,中央新幹線,チュウオウシンカンセン,中央新幹線,,,,137.49389648438,35.411438052435,8,1,1001
1002,3,東海道新幹線,トウカイドウシンカンセン,東海道新幹線,,,,137.72148868199,35.144121935483,7,0,1002
1003,4,山陽新幹線,サンヨウシンカンセン,山陽新幹線,,,,133.14789611678,34.419337699534,7,0,1003
1004,2,東北新幹線,トウホクシンカンセン,東北新幹線,,,,140.76319219429,38.274266939284,7,0,1004
1005,2,上越新幹線,ジョウエツシンカンセン,上越新幹線,,,,139.12148795052,36.798564726932,8,0,1005
1006,2,上越新幹線(ガーラ湯沢支線),ジョウエツシンカンセン,上越新幹線(ガーラ湯沢支線),,,,138.8032503783,36.942882112443,14,0,1006
1007,2,山形新幹線,ヤマガタシンカンセン,山形新幹線,,,,140.16847776151,37.588208809852,8,0,1007
1008,2,秋田新幹線,アキタシンカンセン,秋田新幹線,,,,140.36225377378,37.757288952945,7,0,1008
1009,2,北陸新幹線,ホクリクシンカンセン,北陸新幹線,,,,138.03569767624,36.185981373986,7,0,1009
1010,6,九州新幹線,キュウシュウシンカンセン,九州新幹線,,,,130.57682379427,32.794280023118,8,0,1010
1011,1,北海道新幹線,ホッカイドウシンカンセン,北海道新幹線,,,,140.64422607422,42.094146370923,7,0,1011
1012,6,西九州新幹線,ニシキュウシュウシンカンセン,西九州新幹線,,,,130.0229,33.196289,9,0,1012
